rel_path,filename,page_count,pc1,pc2
CUAD_v1/Co_Branding/MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,3,17.682331085205078,1.4930366277694702
CUAD_v1/Co_Branding/MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,34,17.54012680053711,1.5391851663589478
CUAD_v1/Co_Branding/NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,17,17.979633331298828,1.620678186416626
CUAD_v1/Co_Branding/PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,16,17.98690414428711,1.6181083917617798
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,6,17.926349639892578,1.6068239212036133
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,2,17.84491729736328,1.5547544956207275
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,2,17.813928604125977,1.5585684776306152
CUAD_v1/Co_Branding/RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,11,18.038503646850586,1.618963360786438
CUAD_v1/Co_Branding/RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,11,17.925016403198242,1.6189697980880737
CUAD_v1/Co_Branding/StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,19,18.000049591064453,1.6872305870056152
CUAD_v1/Co_Branding/TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,9,18.013778686523438,1.623871088027954
CUAD_v1/Co_Branding/TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,31,17.558378219604492,1.4394280910491943
CUAD_v1/Collaboration/ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,15,17.409175872802734,2.159738540649414
CUAD_v1/Collaboration/BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,26,17.418060302734375,2.1353237628936768
"CUAD_v1/Collaboration/CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF",25,17.45309829711914,2.1562321186065674
"CUAD_v1/Collaboration/CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF","CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF",154,17.340633392333984,2.0299839973449707
CUAD_v1/Collaboration/CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF,CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF,25,17.43132972717285,1.4403244256973267
"CUAD_v1/Collaboration/ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF","ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF",13,16.794376373291016,1.0441728830337524
